content,rating
"Mình là khách hàng lâu năm của Tiki. Rất không hài lòng về Tiki. Mình có mua 5 sản phẩm bia tiger với 5 đơn hàng khác nhau, để được áp dụng mã giảm giá 10% tối đa 20k của tiki và tham gia chương trình, đơn hàng có giá trị cao nhất. Vậy mà không hiểu lý do gì Tiki khoá luôn TIKINOW của mình, 
HSD Tikinow đến tháng 8/2021. Nếu có mua gói tikinow mới cũng không sử dụng được luôn. Mọi người chú ý để không bị mất tiền oan nhé.",1
Giao hàng đến lâu lâu mà muốn như là cái su luôn chán ko thèm nói ! Đơn đặt từ 9/9 mãi đến tháng 10 mới xác nhận giao rồi 12/10 cứ ở trong kho ngâm cho đến hôm nay 20/11 mới giao !  Trả tiền rồi nên mới sốt ruột ko thì bỏ mẹ nó luôn . Chưa kể nhắn tin liên lạc với Tiki thì suốt ngày cho nói chuyện với máy ! Chả thèm trả lời ! Gọi lên tổng đài cứ cho nghe nhạc rồi tính gần 10k 1 phút - đến khoảng 3 phút mấy bà nó gần 30k gọi 3-6 cuộc mất hết gần 100k mà ko thấy trả lời ! Nhân viên cứ cho nghe nhạc chơi tính tiền cho sướng ! Bà nó nhận được thùng bia chắc tính tiền điện thoại thì mất tổng cộng khoảng 500k ! Đêm alaf bực mình ! Nhận bia xong bái bai tuột xe luôn ! Ko thèm đoái Hoài đến Tiki nữa làm ăn như cục ccccc,1
"Mình mua hàng tiki rất nhiều lần, mua sữa milo cũng nhiều rồi. Mà lần này thực sự thất vọng với đơn hàng này. Sữa milo hạn sử dụng 8 tháng, mà tiki giao cho mình thùng này với hsd đã bị trôi mất 4 tháng. Mình nhận hàng vào ngày 3.3.2022, mà tới 7.7.2022 đã hết hạn. Thùng sữa đợt trước mua trên tiki bị trôi 2 tháng thì còn chấp nhận được, đằng này tiki lại giao hàng cũ cho mình. Cứ thế này thì không biết có nên tiếp tục đặt sữa trên tiki ko nữa. Thực sự không hài lòng chút nào với đơn hàng này",2
"Tại sao mình đặt ít đường lại giao mình loại ni, cũng ko hề liên hệ trước. Bé mình ko thích uống nhiều đường. Giao thùng vinamilk ít đường trước đó 1 ngày thì 1 hộp sữa phồng lên chảy ướt thùng. Mình cũng thôi. Hôm nay nhận thùng này ko giống với hàng đặt. Thật sưh ko hài lòng đc shop",1
"Sữa bị hư, vón cục và có mùi. May là bé mình vừa ngậm uống hút đã thấy mùi lạ nên đổ ra coi thử 😤 mình còn giữ chén sữa để đối chất tới tiki luôn nhé",1
"chưa nhận được hàng mà đã ĐƯỢC xác nhận là NHẬN ĐƯỢC HÀNG. nói giao hàng 14.12 mà 20.12 chưa nhận
1- hình 1 nói hàng đã giao cho Nhân viên đi giao hàng vào ngày 13.12
2- chủ nhật 19.12 tôi phản ảnh lên thì có hình 2 là Nhân viên nhận hàng lúc 12h09, giao cho khách 12h10. quá nhanh quá nguy hiểm
3- theo suy nghĩ tôi : nhân viên giao hàng biết đây là sản phẩm gì, giá trị ra sao nên họ tự kí xác nhận, và tự xài dùm khách đặt hàng luôn
4- giá trị đơn hàng ko cao nhưng làm ảnh hưởng uy tín Tiki quá... ai dám đi săn sale, đặt hàng rùi.... 
Haizzz",1
"giấy ROTO 102 tờ / cuộn 2 lớp, KHĂN GIẤY LAU TAY dai, mịn, không tan trong nước HSD 5 năm kể từ NSX, size 216.mmx200.mm",4
"Trước tiên mình vẫn chấm cho chất lượng Highlands là 5 sao vì ngon và phổ biến với người Việt Nam. Tuy nhiên mình cho 1 sao vì cách quảng cáo trá hình như vầy

Ngày 11/11 tiki tung deal mua 1 tặng 1 như hình với dòng chú thích là ""số lượng có hạn"" nhưng khi hết hàng tiki cũng ko hề thay đổi hình ảnh, hay khuyến cáo người mua hàng mà để như thế tạo tâm lý giá hời, gài mọi người mua nhiều hơn. Kết quả là nhiều người đã đặt và chỉ nhận 1 thay vì 2 (không có bất cứ gói 1kg hay 200g như Tiki quảng cáo hay mọi người đã mua)

Mình đã hỏi thì chỉ được trả lời do số lượng có hạn nên ko tặng. Vậy lỗi là ở khách hàng không xem kỹ, không thông minh để suy nghĩ trước khi mua. Tiki nên xem lại khi hết hàng cần làm gì đó để người mua hàng được biết, chứ như vầy có phải Tiki đã ẵm được cả ngàn đơn cafe và người tiêu dùng bực tức vì bị lừa không. Chỉ đơn giản là sản phẩm tặng kèm đã hết, nhưng có tặng hay không chỉ riêng Tiki biết. Giờ nói thế thì mình tin, cũng không thể nói gì hơn

Mình đã có rất nhiều lựa chọn và deal hời nhưng vẫn trung thành tiki nhưng sau vụ này cần xem lại có nên tiếp tục không
Mình nghĩ comment của mình cũng không có tác động gì đến cả 1 tập đoàn lớn như Tiki đâu nhưng chắc chắn, sẽ không có bất cứ đánh giá tốt nào đến Tiki cũng như sản phẩm Tiki/Tiki Trading quảng cáo, do cảm giác bị lừa.",1
"Trên bài đăng mua 1 tặng 1 ngày 11/11 . Khi nhận hàng ko thấy hàng tặng đâu cả 😊😊😊 mình hay mua loại bị 200g thì bột cafe nó màu nâu pha ra rất thơm vị ngon 
Sao bị này 1kg  bột cafe nó màu đen , khi pha ko thấy thơm lắm vị đắng 
Đây là cảm nhận của mình thôi , còn của mọi người ntn mình k biết nha 😊😊😊",3
"Tôi thực sự thất vọng về sản phẩm cafe của Highlands sảm phẩm cháy đen như than 
tôi vẫn thường dùng cafe hạt rang sẵn về tự xay. do đợt dịch không mua được nên chọn Highland vì tôi nghĩ sản phẩm có thương hiệu thì chất lượng sẽ tốt nhưng :( 
Trong hình tôi gởi kèm màu nâu nhạt là sản phẩm tôi thường dùng còn một ít tôi đổ lên trên để thấy rõ sự khác biệt của 2 sản phẩm 
Màu cafe của Hinhland đen thui gần  như màu mặt kính bếp ga nhà tôi đang dùng xem hình gởi kèm 
Tôi có quay clip nhưng không post lên được",1
"theo mình là lừa gạt, mình đặt giao đúng 1 bịch. xong mình hỏi báo mình là số lượng có hạn.....
vậy sao lúc thanh toán ko báo hết quà tặng.
1 bịch cafe ko đáng nhưng cách là thì quá đáng nghỉ chơi tiki từ đây",1
"Sản phẩm nhận được bị lủng 1 lỗ nhỏ nghe mùi cà phê thoát ra, cộng với việc giao hàng quá lâu nên không biết có đảm bảo chất lượng của cà phê không. Mùa dịch giao hàng lâu thông cảm được, còn về chất lượng sản phẩm thì thực sự không hài lòng",1
"Giao k đúng hàng. Đặt mứt mà giao sirup. Đt lên tổng đài chốt ok ọk , sẽ gửi mail để giao lại mà k thấy đâu. Mong sao shop sẽ thấy phản hồi và sớm liên hệ mình ạ",1
"Giao 1 thùng, có 1 lốc sữa bị thủng, tràn ra bốc mùi hôi thối, phản ánh lên thì nói đền phiếu cho giá trị 2 lốc, tới nay hai tuần k thấy gì, cực kỳ khó chịu với cách làm việc của shop, 1 lốc hỏng tràn ra ngấm vào cả thùng, Thúi rình, phải đem ra rửa hết, xong rửa thì nước nó lại ngấm vào các lốc khác, chán 😵😵😵, thất vọng ,",1
"Hàng chính hãng yên tâm, m có thẻ giảm giá 15% nên mua lợi hơn so với bên ngoài nhiều",4
sản phẩm đóng gói cẩn thận. nhưng khi khui hộp bên trong thì sản phẩm được đóng gói k chắc chắn như những lần trước. nhìn rất cẩu thả. lỏng lẻo. giống như sản phẩm được trưng bày rồi đem vô đóng gói lại nên có thất vọng. hy vọng k phải hàng giả. xin cám ơn.,3
"Sản phẩm có ghi rất rõ là có quà tăng kèm (kèm hình ảnh chứng minh), tôi cũng mua trong giai đoạn khuyến mãi (ngày 22/11/2021 mua hàng và giao hàng ngày 23/11/2021). 
Nhưng khi tôi mua cả 03 thùng hàng thì không có bất kỳ 01 sản phẩm khuyến mãi nào được giao kèm như trong quảng cáo!!!.
Khi hỏi về quà khuyến mãi thì bên giao hàng bảo không biết?!",1
"Quảng cáo là tặng thêm 1 lốc nữa và giảm 50k mà ko thấy gì cả. Chấm 2sao để Tiki rút kinh nghiệm, đừng câu khách vậy mà đem lại trải nghiệm ko tốt cho khách hàng",2
Mẹ cha bọn bán hàng láo vcl thùng 12 lốc t mua cho con uống mà cũng tham thèm khát gì 2 lốc mà lấy cho bằng được. Nhân viên hay ai lấy t không biết chỉ biết tiền vận chuyển t bo thêm nhưng còn việc lấy bớt thế này thì dcm m nghie mẹ bán hàng đi là vừa,1
Ống hút bể hết. Không hiểu do đâu,2
"để mô tả là hsd còn 6 tháng 
vậy mà giao sản phẩm còn 3 tháng
yêu cầu hỗ trợ đổi trả hàng thì bảo rằng tiki đảm bảo hsd trên 30% nên 3 tháng thì không cho đổi 
thế thì để mô tả 3 tháng đi. Để 6 tháng rồi giờ muốn trả không cho trả. chính sách khó hiểu thật sự",2
"Sản phẩm có ngoại quan giống với mô tả, tiki đóng gói sản phẩm tốt, date sử dụng đến 22/3/2022, săn sales nên có giá tốt, chất lượng sản phẩm thì khỏi bàn cãi nhiều, uống ít thôi tiểu đường đấy nhé. Tuy nhiên, tiki giao hàng khá lâu mặc dù tôi ở tp.hcm, tiki cần phải cải thiện dịch vụ giao nhận của mình.",4
"bó tay, giao cho thùng nước cận date (còn không tới 2 tháng nữa hết date). Sting mà ko còn tí gas nào! Dù đã mua nhiều lần nhưng những lần trước rất ok, lần này thật sự thất vọng với Tiki!!!",1
Giao hàng quá lâu. Đã giao trễ còn không thông báo qua điện thoại như các app thương mại điện tử khác. Gửi phản hồi thì không trả lời khách hàng. Quá tệ.,1
giao thùng mốp méo và thiếu 1 chai. liên hệ lại giúp với tiki ơi.,1
"Giao hàng đúng như hình mô tả. Hàng new 100%. Cách đóng gói cũng khá cẩn thận. Bọc ba lớp cho can dầu 5l  nhưng có một nhược điểm kho biết do bên shop hay bên vận chuyển là lúc mình mở hàng ra thấy bị lõm một bên nắp. Cái nắp vặn bị vỡ một nửa, nhưng vẫn còn nút bên trong nên dầu ăn không bị tràn ra ngoài 🥴🥴",4
"đặt hàng lúc 29/8 đến 15/11 mới nhận được, tiki giao đơn ở tỉnh hợp tác với VN post, VNpost giao đơn náo cũng tầm 1 tháng hơn mới tới, đơn của mình bàn giao đv vc 10/10 mà tới 15/11 VN post mới giao trong khi SG và TG cách nhau ko bao xa, cực kì tệ, nếu cho âm sao đc mình sẵn sàng cho âm 10 sao",1
"Giao hàng trễ hơn thời gian dự kiến nửa tháng mà không có thông báo gì, đến khi khách hàng liên lạc với bên bộ phận hỗ trợ mới phản hồi xin lỗi và cách giải quyết là bảo khách cứ chờ đi rồi hàng sẽ đến.",1
"có nút nào âm sao ko , nghĩ sao chưa giao mà mất tiêu đơn hàng rồi mail kêu đánh giá , làm việc càng ngày càng tệ , đặt 5/5 để 6/5 giao. 8/5 chưa giao , tối 7/5 đã báo giao rồi",1
"Thực sự qua mẹ mình gửi cho mình xem xong  rất bực mình. Chẳng hiểu tại sao đặt 2 thùng sữa ( Mỗi thùng 48 bịch)  xong các bạn lại đóng gói như thế này, 2 thùng sữa đóng vào 1 loại quấn băng keo chặt khi vận chuyển dưới tác động bục làm hỏng hết gần 30 túi những túi còn lại bị nước sữa lên mem bám vào.
Bỏ tiền ra mà nhận được sản phẩm như thế này sau ai muốn mua nữa. Mong Shop xem lại cách đóng gói cũng như vận chuyển đến người mua.",1
"Nhận được thùng sữa mà bể banh chành hết , sữa chảy ra loang hết cả thùng và kèm mùi hôi chua khủng khiếp, hạn sử dụng đến tháng 26/2/2022. TiKi xem lại phần vận chuyển hàng hoá dễ bể, phần đóng gói bên ngoài thì rất kĩ, nhưng bên trong bể loang hết cả thùng , tổng cộng bị bể 3 bọc và mình nghĩ nơi vận chuyển họ quăng sản phẩm mạnh nên mới bể. Thật sự ko hài lòng nhưng vẫn cho 4 sao và mong khắc phục những đơn hàng sau của khách",4
"Đánh giá 1 sao cho vận chuyển. 
Báo giao hàng thứ 5 ngày 18/11 đến thứ 6 mình kiểm tra lịch trình thì báo đã giao hàng không thành công lần 1. Trong khi đó mình không nhận được điện thoại của bên giao hàng.
Đến ngày 23/11 mình tìm kiếm trên trang thì thấy được số bên vận chuyển, mình gọi thì báo là sữa bị bục hỏng nên chưa giao vậy mà báo là liên hệ nhưng người nhận không có nhà.
Đánh giá 1 sao cho chăm sóc khách hàng của Tiki. Nhắn tin rất lâu mới phản hồi nhưng lại không xử lý về việc tại sao đơn hàng của mình chưa giao được.
Gọi điện trực tiếp cho tư vấn viên cũng tiếp nhận xong để đấy.
Chắc do mình thanh toán trước nên vậy.
Thùng sữa bị bục hỏng, mùi rất kinh. Mình gọi điện trực tiếp được cho bên giao hàng nên các bạn đấy đã rửa và bọc lại.
Thời gian sử dụng của sữa còn lâu.",1
"shop đóng gói ko cẩn thận, ko để trong thùng của vinamilk lại bỏ sang thùng giấy mỏng của tiki. nên khi vận chuyển bị thủng mấy bịch, sữa chảy ngấm sang mấy bịch sữa khác nên bịch sữa nguyên bị ngấm nước méo mó.shiper điện thì bên cty lại bât shiper tự đền bù, thương a shiper nên mình đành lấy rẻ lại. kết quả shiper mất tiền, mình thì nhận sữa ko đảm bảo ( phải bỏ ngăn đá ko hư sữa), bên tiki ko bị gì😅😅. hàng sữa tiki nên đóng gói cẩn thận",1
"tiki trading mà làm ăn như quần què vậy á , giao sữa còn có 2 tháng là hết hạn , bao bì k thể nào cũ hơn , thùng sữa đã khui ra rồi gấp lại , bữa mua 2 thùng sữa cũng còn 2 tháng là hết , làm ăn như hạch , k bao giờ mua lần nữa , xoá luôn app ,, làm như như c",1
mình mua sữa tiki traiding không biết bao nhiêu lần. nhưng lần này thật sự quá thất vong. đóng gói quấn 1 cục. sữa bị bể bịch cả 2 thùng. bốc mùi khó chịu. đề nghị đổi trả ngay lập tức.,1
"sửa vận chuyển bị bục. bốc mùi chua hôi rất khó chịu,  vận chuyển hàng rất chậm, k thể chấp nhận được đơn hàng như này.",1
sản phẩm để lâu bị vón cục đặc lại,3
tiki lên giá 1 cách chóng mặt khiến tôi nghẹt thở. cơ thể toii bị hủy hoại nghiêm trọng bởi những cơn lo âu triền miên vì áp lực mua hàng giá rẻ. làm ơn đừng khien tôi tổn thương thêm nữa,1
"Giao hàng siêu chậm, thời gian giao dự kiến 2 tuần, nhưng sau 2 tuần vẫn ko thấy, gọi điện lên tổng đài thì hẹn tiếp từ 10-15 ngày nữa. Những đơn hàng trễ hơn 1 tháng thì không được đánh giá. Tiki gần đây làm ăn quá tệ.",1
"Sản phẳm tốt đáng mua, giao hàng nhanh tận tình chu đáo",4
"Tuỳ đợt tuỳ người vận chuỷen, mình mua 6 lần hết 2 lần bị xì nước. Có 1 đợt nặng nhất là ướt, hư cả thùng. Khâu vận chuyển nước về tỉnh cứ bị lỗi suốt",3
"Giao hàng nhanh, giá tốt mua để tặng khách hàng dịp cuối năm nhưng quà khuyến mãi 4 chai bia nhôm bị bể hết 4 chai.",3
"Trà tim sen Uống rồi và ko hề ngủ dc đến 3,4g sáng vẫn còn tĩnh queo .",1
"Sản phẩm không đúng mô tả và hình ảnh, bao bì sản phẩm là loại thường chứ không có mã code. Mọi người nếu quan tâm tới vấn đề này thì không nên đặt. Còn lại sữa vẫn uống được, date xa. Giao hàng nhanh, trước 10h, tuy nhiên bưu tá thái độ lồi lõm, nên nhìn chung đánh giá 1 sao.",1
"Đơn hàng có ghi tăng bình giữ nhiệt, khi giao hàng không có. Khi gọi lại thì trả lời là số lượng quà tặng có hạn.

Đã biết số lượng quà bao nhiêu, sao không cài đặt chức năng còn tồn kho bao nhiêu theo số lượng quà tặng, để khách hàng khi mua người ta biết hết hàng quà tặng rồi, chọn lựa hạng mục hàng khác không có quà tặng? Hành động lập lờ như vậy thật đáng chê trách Tiki Trading ơi",2
"Hàng giao nhanh, sp date xa. Chỉ không hài lòng các khuyến mãi như tặng 4 bộ cùng loại hay giảm giá thêm cho đơn hàng không thấy đâu.",4
Giao hàng chậm. Đặt hơn 2 tháng trời mới giao trong khi đó các app giao hàng khác như lazada trong vòng 1 tuần là nhận được rồi. Đánglex cho 1 sao thôi nhưng vì anh giao hàng dễ thương nên cho 3 sao,3
"có -5 điểm không, cách đây vài năm đặt cây đèn sông tinh dầu bị bể sợ không dám đặt nữa, giờ đặt thử đơn pepsi thì rách móp mất hàng, thật sự người Việt Nam muốn ủng hộ dịch vụ của người Việt Nam mà làm kiểu này sợ quá, giờ không biết lỗi do Pepsi hay Tiki, hôm bửa còn đặt đơn về mất hàng nữa chắc in tờ rơi đi rãi cho người ta né cái Tiki này ra quá.",1
"Bình thường uống coca light, pepsi giảm giá nên mua về tin tưởng hãng pepsi nên k để ý. Hôm nay mới nhận ra pepsi có chất tạo ngọt aspartame, đây là chất độc gây hại cho thần kinh, gan… k ngờ hãng lớn như pepsi mà vẫn còn sử dụng chất này.
Tệ hơn cả uống có đường",2
"mua để lấy cái ly giữ nhiệt thì nên cân nhắc trước khi mua nhé, vì mình được giao cái ly giữ nhiệt bị lỗi, không có tính năng giữ nhiệt, ly rất nhẹ, cảm giác rất dỏm, liên hệ đổi hàng thì tiki nói là quà tặng nên không cho đổi. rất hên xui nha mọi người.",1
"Vận chuyển 1 thùng nước ngọt của mình bị vỡ, chỉ còn nguyên vẹn 2/4 lốc 
2 lốc bị vỡ k sử dụng được. Tổng số *** còn lại được dùng chỉ 15/24 ***",1
"lúc đặt mua có quà tặng ly đính kèm, đến lúc nhận hàng thì không có ly, trong khi chương trình tặng ly vẫn đang chạy trên sàn tiki, hotline hướng dẫn mình xem lại đơn thì mục hiển thị không có gì để xem chi tiết đơn cả. Quá thất vọng về sàn tiki. Chắc không có việc sau này mua hàng trước khi thanh toán phải chụp lại giỏ hàng đang đặt à. Lựa chọn của người tiêu dùng là đặt niềm tin vào sự uy tín của sàn tmđt nhưng tiki đã làm mình thất vọng về chất lượng dịch vụ của sàn",1
"đóng hàng gửi xa , và gửi trong thời điểm dịch bệnh lại quá sơ sài. date chỉ tới tháng 1/2022, trong khi hàng nằm ở kho vận chuyển đã mất 2 tháng mới đến ta người nhận. đặt từ 29/7, 29/9 mới nhận được",2
"Khá ổn, như ảnh quảng cáo, chỉ là date hơi cũ mua tầm ngày 6/2 2023",4
"Chưa bao giờ mua hàng tiki mà thấy thất vọng như lần này. Không ở nhà khi nhân viên giao hàng tới. Khi về nhà thì ôi thôi, giao kiện nước mà ko thèm đóng gói gì hết mà chỉ bọc nilon bên ngoài kiện nước. Hậu quả là kiện nước bị bục ra tơi tả. Lon nước bục hết ra nên phải lôi tất cả ra xem lon nào còn uống được thì đem rửa. Mua tiki rẻ hơn bên ngoài 1 chút nhưng rước cả đống bực tức. Mà cũng chẳng rẻ hơn được vì kiện nước phải vứt bỏ đi gần chục lon nước. Kể từ giờ phút này mình không bao giờ đặt nước ngọt trên tiki nữa. Và cũng gửi lời khuyên chân thành tới tiki là nên dừng bán nước ngọt lại vì kiểu đóng gói thất đức và vô trách nhiệm của tiki khiến mình hay bất cứ khách hàng nào khác cũng sẽ chẳng còn niềm tin. Khuyên các bạn khác đừng nên mua nước ngọt trên tiki nữa vì kiểu làm ăn vô trách nhiệm này của tiki trading là minh chứng rất rõ ràng của sự vô trách nhiệm và coi thường khách hàng.",1
"Là hàng do Tiki Trading phân phối nhưng đóng gói quá sơ sài. Hàng giao tới nơi bể rất nhiều lon, xì nước kiến bu tùm lum thùng giấy. Nhưng mình không có nhà nên không kiểm tra được. Bên nhãn hàng nước tăng lực Monster cũng do Tiki đóng gói thì có lớp giấy dày bảo vệ. Hy vọng Tiki chấn chỉnh lại quy cách đóng gói.",3
Đây là cách tiki làm việc. Giao thiếu hàng. Thùng 4 lốc mà giao 2 lốc + 5 lon. Hàng thì vỡ ướt hết hàng k thể chấp nhận,1
"Giao hàng nước, nhưng chạy quá ẩu dù gói chống sốc rất nhiều nhưng vẫn móp. Tiki nên xem xét hàng nào dễ vỡ móp thì dùng phương tiện riêng tính thêm phí ship cũng được như nhận hàng không ưng ý lắm . định để 1 sao nhưng mà thấy các bạn đã gói rất kỹ rồi nên thôi",3
"Quá thất vọng. Thật sự mình là một người dễ tính, nhưng lần này phải nói vì quá bức xúc. Giao hàng thì bọc có 2 lớp nilon sơ xài như cho có, nên là thùng thủng cả 4-5 lỗ to, đã vậy còn móp méo. Đã vậy thùng nước còn BỊ MỞ SẴN RA RỒI. Mình mua biếu quà Tết cho họ hàng mà đi thùng này thì xem có ra thể thống gì không? Còn chưa kể không biết nhà bán hàng có tráo nước hết đát vào thùng của mình không nữa ý :)) Tết nhất đầu năm mà đã làm việc như này thì mình xin tiễn vong ạ.",1
lần thứ 2 mua nước ở tiki quá tệ trước tết mua thì bị thiêú 1 chai giờ thì bị bể 1 chai thùng thì ướt tùm lum tôi ko hiểu sao tiki bán hàng tệ đến vậy khiếu nại thì ko giải quyết,1
"Đã nhận hàng, date tháng 7, nhưng lại không có hàng khuyến mại(ly nhựa) kèm theo",4
Giá bình thường : 17k/4 cục. Giá flashsale : 10k/2 cục,1
"Hàng đóng gói cẩn thận. Còn ghi chú thêm hàng dễ vỡ để nhân viên vận chuyển cẩn thận. Khi mở tả có một vài hộp bị méo nhưng không sao, chất lượng vẫn OK. Đánh giá cao về khoản giao hàng nhanh.Đặt hôm trc hôm sâu đã về rồi. ???",4
"Giao hàng đúng hẹn. Nhà sản xuât Message Coffee có cố gắng giao tiếp với khách hàng. Tuy nhiên, theo tôi, cần cải tiến bao gói để đảm bảo chất lượng sản phẩm khi đến tay khách hàng. Cả hai gói cà phê tôi nhận được đều bị mất mùi, trên bao bì không ghi ngày sản xuất và ngày hết hạn sử dụng.",3
"Cà phê ổn, nhưng nếu không lầm thì có quá nhiều hoá chất bảo quản thì phải??? Mình pha bằng dụng cụ thủ công, và có dùng giấy lọc THP của Nhật. Khi đổ vô ly có rất nhiều lớp màn đọng phía trên nên mình phải dùng muỗng mút ra cho hết, rồi mới dám uống. Lỡ mua rồi nên uống cho hết.",3
Cafe hok thực nguyên chất vì pha lên hok thấy nở xốp. Cafe nguyên chất pha nó nở ra ghê lắm. Vị cafe dịu nhẹ cug đc nhg hok cảm thấy thưc sự tỉnh táo. Cafe nguyên chất uống vào nó lâng lâng rất thik. Cafe này thì hok. Có chút tỉnh tảo nhg hok có cảm giác lâng lâng như nhg cafe nguyên chất tớ từng uống. Cafe vị thơm nhg tớ chắc chắn là có pha. Có cafe nhg hok thực sự nguyên chất 100%.,3
Không biết shop có giao nhầm không mà đợt này cf cảm giác ko thơm và vị không chua thanh mà nó lại đắng như robusta,4
